Product,PurchaseDate,Price,UserID
Technology,2022-12-19,607.7068456776238,User_735
Cosmetics,2023-11-07,114.21251085562102,User_20
Toys,2021-10-01,576.9559876981226,User_759
Technology,2022-11-16,505.5750805538157,User_840
Books,2021-04-26,857.0330051348077,User_956
Toys,2023-05-11,535.3882378658861,User_713
Toys,2022-11-24,262.6801100008406,User_405
Technology,2021-11-20,678.8876232262396,User_115
Shoes,2023-08-19,547.1496980102244,User_895
Books,2021-04-24,240.71418198420372,User_701
Technology,2023-12-18,577.8915793634787,User_980
Books,2021-06-03,823.3202221107892,User_975
Books,2021-11-11,38.285208546770335,User_26
Toys,2023-12-01,634.5425282586606,User_566
Cosmetics,2021-04-15,356.08934382654814,User_682
Books,2021-12-20,299.7447313018299,User_395
Food & Beverage,2023-10-13,398.66187285750016,User_933
Toys,2023-01-03,348.60243760550185,User_381
Shoes,2022-12-10,833.9167156413572,User_523
Cosmetics,2022-10-13,282.04983266022157,User_539
Food & Beverage,2023-04-04,735.8214928755195,User_862
Food & Beverage,2023-08-05,103.11922202630284,User_83
Shoes,2022-10-23,951.8824087595714,User_802
Cosmetics,2021-04-09,626.0934708760662,User_550
Toys,2022-08-11,709.6513912741145,User_445
Clothing,2021-10-09,305.0589387735065,User_87
Cosmetics,2022-02-07,417.97560302103346,User_949
Shoes,2022-12-01,231.54060240826647,User_833
Food & Beverage,2021-07-18,933.2107249442017,User_387
Toys,2021-11-23,493.2234026303639,User_963
Cosmetics,2021-06-03,634.14363450141,User_668
Clothing,2022-07-06,736.9293102254082,User_398
Clothing,2022-02-09,377.39503018854356,User_820
Books,2022-04-07,722.9006379937498,User_286
Books,2021-05-12,679.2325648587768,User_698
Technology,2023-03-02,708.6027405352071,User_694
Shoes,2023-05-24,494.33760120256676,User_965
Cosmetics,2021-03-25,389.1080084687009,User_369
Cosmetics,2023-01-24,229.86136632689994,User_655
Technology,2022-09-20,826.380089272884,User_422
Food & Beverage,2021-08-09,612.2665460663619,User_718
