User_ID,Category,Purchase_Date,Price
User_280,Cosmetics,2024-05-01,337.88
User_60,Cosmetics,2023-08-26,392.88
User_509,Food & Beverage,2024-01-16,124.94
User_700,Cosmetics,2023-10-18,439.38
User_568,Toys,2023-03-31,244.57
User_577,Toys,2023-12-07,425.65
User_346,Shoes,2023-06-19,145.75
User_990,Books,2023-07-11,191.34
User_996,Books,2023-11-30,190.01
User_204,Food & Beverage,2023-10-12,340.13
User_575,Cosmetics,2024-09-29,258.15
User_924,Shoes,2024-03-01,165.09
User_900,Toys,2024-03-13,115.48
User_140,Cosmetics,2024-06-29,106.35
User_570,Food & Beverage,2024-09-03,360.03
User_8,Shoes,2023-05-02,62.25
User_211,Books,2024-06-22,379.16
User_835,Toys,2023-04-02,128.18
User_127,Technology,2024-07-07,453.12
User_37,Books,2024-06-02,321.85
User_923,Books,2023-07-28,135.71
User_794,Toys,2023-09-08,307.48
User_646,Food & Beverage,2024-01-12,191.63
User_255,Toys,2023-08-25,165.49
User_533,Cosmetics,2023-10-24,324.24
User_435,Technology,2024-04-27,119.68
User_212,Toys,2023-04-04,186.73
User_6,Cosmetics,2023-01-22,239.81
User_344,Clothing,2023-12-26,298.39
User_662,Food & Beverage,2023-07-10,233.15
User_2,Cosmetics,2024-06-27,125.45
User_2,Technology,2024-06-06,497.32
User_173,Books,2023-12-10,435.67
User_663,Books,2024-03-27,293.09
User_905,Technology,2023-07-27,99.21
User_659,Clothing,2024-05-24,424.95
User_446,Toys,2024-09-16,331.99
User_547,Toys,2023-08-18,205.07
User_982,Toys,2024-07-03,406.75
User_279,Toys,2023-07-21,177.05
User_465,Technology,2023-08-05,251.84
User_135,Toys,2023-03-03,141.63
User_331,Cosmetics,2023-10-24,96.98
User_451,Clothing,2024-05-09,334.39
User_179,Shoes,2023-03-08,405.85
User_134,Toys,2023-04-23,192.07
User_980,Technology,2023-10-10,333.95
User_891,Toys,2024-04-08,440.39
User_196,Books,2023-01-01,112.1
User_850,Toys,2023-07-07,141.6
User_501,Cosmetics,2024-04-26,324.12
User_895,Food & Beverage,2023-12-28,321.76
User_79,Shoes,2023-08-03,369.1
User_989,Clothing,2024-01-20,34.79
User_202,Toys,2023-03-20,217.67
User_202,Clothing,2024-03-11,231.47
User_158,Toys,2024-08-31,487.43
User_689,Toys,2024-05-06,226.67
User_904,Clothing,2024-01-04,406.8
User_499,Food & Beverage,2024-02-04,373.75
